waktu,komentar,cleaning,case_folding,normalisasi,tokenize,stopword removal,steming_data
sebulan lalu,Ramai nyaman aman asri,Ramai nyaman aman asri,ramai nyaman aman asri,ramai nyaman aman asri,"['ramai', 'nyaman', 'aman', 'asri']","['ramai', 'nyaman', 'aman', 'asri']",ramai nyaman aman asri
sebulan lalu,"Lautan manusia tumpah pada tgl 6 april 2025 di Alun² Wonosobo..
Seumur umur baru tau kalo macet parah... Dan nyari tempat parkir susah.
Over selalu masih bingung apa yang dinikmati..
😂😂😂 …","Lautan manusia tumpah pada tgl  april  di Alun Wonosobo
Seumur umur baru tau kalo macet parah Dan nyari tempat parkir susah
Over selalu masih bingung apa yang dinikmati
 ","lautan manusia tumpah pada tgl  april  di alun wonosobo
seumur umur baru tau kalo macet parah dan nyari tempat parkir susah
over selalu masih bingung apa yang dinikmati
 ",lautan manusia tumpah pada tanggal april di alun wonosobo seumur umur baru tau kalau macet parah dan mencari tempat parkir susah over selalu masih bingung apa yang dinikmati,"['lautan', 'manusia', 'tumpah', 'pada', 'tanggal', 'april', 'di', 'alun', 'wonosobo', 'seumur', 'umur', 'baru', 'tau', 'kalau', 'macet', 'parah', 'dan', 'mencari', 'tempat', 'parkir', 'susah', 'over', 'selalu', 'masih', 'bingung', 'apa', 'yang', 'dinikmati']","['lautan', 'manusia', 'tumpah', 'tanggal', 'april', 'alun', 'wonosobo', 'seumur', 'umur', 'tau', 'macet', 'parah', 'mencari', 'parkir', 'susah', 'over', 'bingung', 'dinikmati']",laut manusia tumpah tanggal april alun wonosobo umur umur tau macet parah cari parkir susah over bingung nikmat
sebulan lalu,Luas terawat,Luas terawat,luas terawat,luas terawat,"['luas', 'terawat']","['luas', 'terawat']",luas awat
sebulan lalu,menyejukkan dan begitu indah pemandangan serta warganya ramah ramah,menyejukkan dan begitu indah pemandangan serta warganya ramah ramah,menyejukkan dan begitu indah pemandangan serta warganya ramah ramah,menyejukkan dan begitu indah pemandangan serta warganya ramah ramah,"['menyejukkan', 'dan', 'begitu', 'indah', 'pemandangan', 'serta', 'warganya', 'ramah', 'ramah']","['menyejukkan', 'indah', 'pemandangan', 'warganya', 'ramah', 'ramah']",sejuk indah pandang warga ramah ramah
sebulan lalu,Sempat istirahat disini setelah selesai ngurus pajak kendaraan di SAMSAT yang lokasinya berdekatan dengan alun alun,Sempat istirahat disini setelah selesai ngurus pajak kendaraan di SAMSAT yang lokasinya berdekatan dengan alun alun,sempat istirahat disini setelah selesai ngurus pajak kendaraan di samsat yang lokasinya berdekatan dengan alun alun,sempat istirahat disini setelah selesai mengurus pajak kendaraan di samsat yang lokasinya berdekatan dengan alun alun,"['sempat', 'istirahat', 'disini', 'setelah', 'selesai', 'mengurus', 'pajak', 'kendaraan', 'di', 'samsat', 'yang', 'lokasinya', 'berdekatan', 'dengan', 'alun', 'alun']","['istirahat', 'selesai', 'mengurus', 'pajak', 'kendaraan', 'samsat', 'lokasinya', 'berdekatan', 'alun', 'alun']",istirahat selesai urus pajak kendara samsat lokasi dekat alun alun
sebulan lalu,Tempat rekreasi yang nyaman,Tempat rekreasi yang nyaman,tempat rekreasi yang nyaman,tempat rekreasi yang nyaman,"['tempat', 'rekreasi', 'yang', 'nyaman']","['rekreasi', 'nyaman']",rekreasi nyaman
sebulan lalu,"Sejuk, Adem Ayem, Segar, Cocok untuk quality time bersama orang tersayang dan keluarga
Bisa menjadi tempat rest sebelum lanjut naik ke Dieng
Di sekitarnya juga banyak taman dan spot foto yang menarik dan keren...","Sejuk Adem Ayem Segar Cocok untuk quality time bersama orang tersayang dan keluarga
Bisa menjadi tempat rest sebelum lanjut naik ke Dieng
Di sekitarnya juga banyak taman dan spot foto yang menarik dan keren","sejuk adem ayem segar cocok untuk quality time bersama orang tersayang dan keluarga
bisa menjadi tempat rest sebelum lanjut naik ke dieng
di sekitarnya juga banyak taman dan spot foto yang menarik dan keren",sejuk adem ayem segar cocok untuk quality time bersama orang tersayang dan keluarga bisa menjadi tempat istirahat sebelum lanjut naik ke dieng di sekitarnya juga banyak taman dan spot foto yang menarik dan keren,"['sejuk', 'adem', 'ayem', 'segar', 'cocok', 'untuk', 'quality', 'time', 'bersama', 'orang', 'tersayang', 'dan', 'keluarga', 'bisa', 'menjadi', 'tempat', 'istirahat', 'sebelum', 'lanjut', 'naik', 'ke', 'dieng', 'di', 'sekitarnya', 'juga', 'banyak', 'taman', 'dan', 'spot', 'foto', 'yang', 'menarik', 'dan', 'keren']","['sejuk', 'adem', 'ayem', 'segar', 'cocok', 'quality', 'time', 'orang', 'tersayang', 'keluarga', 'istirahat', 'dieng', 'taman', 'spot', 'foto', 'menarik', 'keren']",sejuk adem ayem segar cocok quality time orang sayang keluarga istirahat dieng taman spot foto tarik keren
sebulan lalu,Keren ada festival balon udaranya,Keren ada festival balon udaranya,keren ada festival balon udaranya,keren ada festival balon udaranya,"['keren', 'ada', 'festival', 'balon', 'udaranya']","['keren', 'festival', 'balon', 'udaranya']",keren festival balon udara
sebulan lalu,"Tempatnya asyik buat menghabiskan malam mingguan, banyak area bermain dan ramai banget...",Tempatnya asyik buat menghabiskan malam mingguan banyak area bermain dan ramai banget,tempatnya asyik buat menghabiskan malam mingguan banyak area bermain dan ramai banget,tempatnya asyik buat menghabiskan malam mingguan banyak area bermain dan ramai banget,"['tempatnya', 'asyik', 'buat', 'menghabiskan', 'malam', 'mingguan', 'banyak', 'area', 'bermain', 'dan', 'ramai', 'banget']","['tempatnya', 'asyik', 'menghabiskan', 'malam', 'mingguan', 'area', 'bermain', 'ramai', 'banget']",tempat asyik habis malam minggu area main ramai banget
sebulan lalu,capadocia nya jawa🥰🥰🥰 …,capadocia nya jawa ,capadocia nya jawa ,cappadocia ya jawa,"['cappadocia', 'ya', 'jawa']","['cappadocia', 'ya', 'jawa']",cappadocia ya jawa
