waktu,komentar,cleaning,case_folding,normalisasi,tokenize,stopword_removal,steming_data,Score,Sentiment
sebulan lalu,"tempatnya selalu rame dihari² weekend atau hari libur, tempatnya juga bersih, nyaman buat santai² pagi atau sore, cocok buat olahraga, aktivitas harian, bahkan acara² tertentu, dekat dengan tempat makan, aksesnya juga cukup dekat karena berada di tengah² kota",tempatnya selalu rame dihari weekend atau hari libur tempatnya juga bersih nyaman buat santai pagi atau sore cocok buat olahraga aktivitas harian bahkan acara tertentu dekat dengan tempat makan aksesnya juga cukup dekat karena berada di tengah kota,tempatnya selalu rame dihari weekend atau hari libur tempatnya juga bersih nyaman buat santai pagi atau sore cocok buat olahraga aktivitas harian bahkan acara tertentu dekat dengan tempat makan aksesnya juga cukup dekat karena berada di tengah kota,tempatnya selalu ramai dihari weekend atau hari libur tempatnya juga bersih nyaman buat santai pagi atau sore cocok buat olahraga aktivitas harian bahkan acara tertentu dekat dengan tempat makan aksesnya juga cukup dekat karena berada di tengah kota,"['tempatnya', 'selalu', 'ramai', 'dihari', 'weekend', 'atau', 'hari', 'libur', 'tempatnya', 'juga', 'bersih', 'nyaman', 'buat', 'santai', 'pagi', 'atau', 'sore', 'cocok', 'buat', 'olahraga', 'aktivitas', 'harian', 'bahkan', 'acara', 'tertentu', 'dekat', 'dengan', 'tempat', 'makan', 'aksesnya', 'juga', 'cukup', 'dekat', 'karena', 'berada', 'di', 'tengah', 'kota']","['tempatnya', 'ramai', 'dihari', 'weekend', 'libur', 'tempatnya', 'bersih', 'nyaman', 'santai', 'pagi', 'sore', 'cocok', 'olahraga', 'aktivitas', 'harian', 'acara', 'makan', 'aksesnya', 'kota']",tempat ramai hari weekend libur tempat bersih nyaman santai pagi sore cocok olahraga aktivitas hari acara makan akses kota,15,Positif
Diedit seminggu lalu,Alun-alun dengan view yang sangat indah dan udara segar yang cocok untuk berolahraga saat pagi maupun sore,Alunalun dengan view yang sangat indah dan udara segar yang cocok untuk berolahraga saat pagi maupun sore,alunalun dengan view yang sangat indah dan udara segar yang cocok untuk berolahraga saat pagi maupun sore,alunalun dengan view yang sangat indah dan udara segar yang cocok untuk berolahraga saat pagi maupun sore,"['alunalun', 'dengan', 'view', 'yang', 'sangat', 'indah', 'dan', 'udara', 'segar', 'yang', 'cocok', 'untuk', 'berolahraga', 'saat', 'pagi', 'maupun', 'sore']","['alunalun', 'view', 'indah', 'udara', 'segar', 'cocok', 'berolahraga', 'pagi', 'sore']",alunalun view indah udara segar cocok olahraga pagi sore,7,Positif
2 minggu lalu,"Kuliner malam dan sarapan murah meriah
Banyak penjual angkringan, wedang ronde, bakar jagung, cilok, dan kopi. Bisa dicoba lewat warung lesehan langsung di sekitar Alun-alun.","Kuliner malam dan sarapan murah meriah
Banyak penjual angkringan wedang ronde bakar jagung cilok dan kopi Bisa dicoba lewat warung lesehan langsung di sekitar Alunalun","kuliner malam dan sarapan murah meriah
banyak penjual angkringan wedang ronde bakar jagung cilok dan kopi bisa dicoba lewat warung lesehan langsung di sekitar alunalun",kuliner malam dan sarapan murah meriah banyak penjual angkringan wedang ronde bakar jagung cilok dan kopi bisa dicoba lewat warung lesehan langsung di sekitar alunalun,"['kuliner', 'malam', 'dan', 'sarapan', 'murah', 'meriah', 'banyak', 'penjual', 'angkringan', 'wedang', 'ronde', 'bakar', 'jagung', 'cilok', 'dan', 'kopi', 'bisa', 'dicoba', 'lewat', 'warung', 'lesehan', 'langsung', 'di', 'sekitar', 'alunalun']","['kuliner', 'malam', 'sarapan', 'murah', 'meriah', 'penjual', 'angkringan', 'wedang', 'ronde', 'bakar', 'jagung', 'cilok', 'kopi', 'dicoba', 'warung', 'lesehan', 'langsung', 'alunalun']",kuliner malam sarap murah riah jual angkring wedang ronde bakar jagung cilok kopi coba warung leseh langsung alunalun,12,Positif
2 bulan lalu,"Tempatnya ramai dan ada banyak playground. Ada beberapa spot untuk anak2 bermain. Ada banyak penjual makanan dan minuman di sekitar alun-alun. Sayangnya, masih terlihat beberapa sampah berserakan. Cocok untuk tempat piknik atau rekereasi bersama keluarga",Tempatnya ramai dan ada banyak playground Ada beberapa spot untuk anak bermain Ada banyak penjual makanan dan minuman di sekitar alunalun Sayangnya masih terlihat beberapa sampah berserakan Cocok untuk tempat piknik atau rekereasi bersama keluarga,tempatnya ramai dan ada banyak playground ada beberapa spot untuk anak bermain ada banyak penjual makanan dan minuman di sekitar alunalun sayangnya masih terlihat beberapa sampah berserakan cocok untuk tempat piknik atau rekereasi bersama keluarga,tempatnya ramai dan ada banyak playground ada beberapa spot untuk anak bermain ada banyak penjual makanan dan minuman di sekitar alunalun sayangnya masih terlihat beberapa sampah berserakan cocok untuk tempat piknik atau rekereasi bersama keluarga,"['tempatnya', 'ramai', 'dan', 'ada', 'banyak', 'playground', 'ada', 'beberapa', 'spot', 'untuk', 'anak', 'bermain', 'ada', 'banyak', 'penjual', 'makanan', 'dan', 'minuman', 'di', 'sekitar', 'alunalun', 'sayangnya', 'masih', 'terlihat', 'beberapa', 'sampah', 'berserakan', 'cocok', 'untuk', 'tempat', 'piknik', 'atau', 'rekereasi', 'bersama', 'keluarga']","['tempatnya', 'ramai', 'playground', 'spot', 'anak', 'bermain', 'penjual', 'makanan', 'minuman', 'alunalun', 'sayangnya', 'sampah', 'berserakan', 'cocok', 'piknik', 'rekereasi', 'keluarga']",tempat ramai playground spot anak main jual makan minum alunalun sayang sampah sera cocok piknik rekereasi keluarga,9,Positif
sebulan lalu,"sedang liburan ke Dieng, mampir ke alun-alun Wonosobo.
cocok untuk istirahat, duduk-duduk sejenak.
ada beberapa penjual makanan, ada penyewaan mainan juga seperti sepeda listrik, …","sedang liburan ke Dieng mampir ke alunalun Wonosobo
cocok untuk istirahat dudukduduk sejenak
ada beberapa penjual makanan ada penyewaan mainan juga seperti sepeda listrik ","sedang liburan ke dieng mampir ke alunalun wonosobo
cocok untuk istirahat dudukduduk sejenak
ada beberapa penjual makanan ada penyewaan mainan juga seperti sepeda listrik ",sedang liburan ke dieng mampir ke alunalun wonosobo cocok untuk istirahat dudukduduk sejenak ada beberapa penjual makanan ada penyewaan mainan juga seperti sepeda listrik,"['sedang', 'liburan', 'ke', 'dieng', 'mampir', 'ke', 'alunalun', 'wonosobo', 'cocok', 'untuk', 'istirahat', 'dudukduduk', 'sejenak', 'ada', 'beberapa', 'penjual', 'makanan', 'ada', 'penyewaan', 'mainan', 'juga', 'seperti', 'sepeda', 'listrik']","['liburan', 'dieng', 'mampir', 'alunalun', 'wonosobo', 'cocok', 'istirahat', 'dudukduduk', 'penjual', 'makanan', 'penyewaan', 'mainan', 'sepeda', 'listrik']",libur dieng mampir alunalun wonosobo cocok istirahat dudukduduk jual makan sewa main sepeda listrik,12,Positif
3 bulan lalu,kesini karena ingin menjadi saksi kemeriahan puncak dari festival balon udara Wonosobo.berangkat dari camp kahyangan skyline jam 5 habis subuh sampai parkiran sudah penuh sesak semua..balik jam 07.30 eh muter arah telaga menjer macet total …,kesini karena ingin menjadi saksi kemeriahan puncak dari festival balon udara Wonosoboberangkat dari camp kahyangan skyline jam  habis subuh sampai parkiran sudah penuh sesak semuabalik jam  eh muter arah telaga menjer macet total ,kesini karena ingin menjadi saksi kemeriahan puncak dari festival balon udara wonosoboberangkat dari camp kahyangan skyline jam  habis subuh sampai parkiran sudah penuh sesak semuabalik jam  eh muter arah telaga menjer macet total ,kesini karena ingin menjadi saksi kemeriahan puncak dari festival balon udara wonosoboberangkat dari camp kahyangan skyline jam habis subuh sampai parkiran sudah penuh sesak semuabalik jam eh putar arah telaga menjer macet total,"['kesini', 'karena', 'ingin', 'menjadi', 'saksi', 'kemeriahan', 'puncak', 'dari', 'festival', 'balon', 'udara', 'wonosoboberangkat', 'dari', 'camp', 'kahyangan', 'skyline', 'jam', 'habis', 'subuh', 'sampai', 'parkiran', 'sudah', 'penuh', 'sesak', 'semuabalik', 'jam', 'eh', 'putar', 'arah', 'telaga', 'menjer', 'macet', 'total']","['kesini', 'saksi', 'kemeriahan', 'puncak', 'festival', 'balon', 'udara', 'wonosoboberangkat', 'camp', 'kahyangan', 'skyline', 'jam', 'habis', 'subuh', 'parkiran', 'penuh', 'sesak', 'semuabalik', 'jam', 'eh', 'putar', 'arah', 'telaga', 'menjer', 'macet', 'total']",kesini saksi riah puncak festival balon udara wonosoboberangkat camp kahyangan skyline jam habis subuh parkir penuh sesak semuabalik jam eh putar arah telaga menjer macet total,-1,Negatif
3 bulan lalu,"Recommended buat jalan² pagi, krn kalo siangan dikit uda ramai byk pedagang,tapi seneng sih krn makanannya enak² ,suasana pagi syahdu  bisa liat gunung Sumbing dan Sindoro",Recommended buat jalan pagi krn kalo siangan dikit uda ramai byk pedagangtapi seneng sih krn makanannya enak suasana pagi syahdu  bisa liat gunung Sumbing dan Sindoro,recommended buat jalan pagi krn kalo siangan dikit uda ramai byk pedagangtapi seneng sih krn makanannya enak suasana pagi syahdu  bisa liat gunung sumbing dan sindoro,recommended buat jalan pagi karena kalau siangan dikit sudah ramai banyak pedagangtapi senang sih karena makanannya enak suasana pagi syahdu bisa lihat gunung sumbing dan sindoro,"['recommended', 'buat', 'jalan', 'pagi', 'karena', 'kalau', 'siangan', 'dikit', 'sudah', 'ramai', 'banyak', 'pedagangtapi', 'senang', 'sih', 'karena', 'makanannya', 'enak', 'suasana', 'pagi', 'syahdu', 'bisa', 'lihat', 'gunung', 'sumbing', 'dan', 'sindoro']","['recommended', 'jalan', 'pagi', 'siangan', 'dikit', 'ramai', 'pedagangtapi', 'senang', 'sih', 'makanannya', 'enak', 'suasana', 'pagi', 'syahdu', 'lihat', 'gunung', 'sumbing', 'sindoro']",recommended jalan pagi siang dikit ramai pedagangtapi senang sih makan enak suasana pagi syahdu lihat gunung sumbing sindoro,16,Positif
3 bulan lalu,"Iseng pengen maen ke sini dan pas saya dateng ""wah keren banget ni alun²"".

Mau ngadem? Bisa …","Iseng pengen maen ke sini dan pas saya dateng wah keren banget ni alun

Mau ngadem Bisa ","iseng pengen maen ke sini dan pas saya dateng wah keren banget ni alun

mau ngadem bisa ",iseng pengin main ke sini dan pas saya datang wah keren banget nih alun mau ngadem bisa,"['iseng', 'pengin', 'main', 'ke', 'sini', 'dan', 'pas', 'saya', 'datang', 'wah', 'keren', 'banget', 'nih', 'alun', 'mau', 'ngadem', 'bisa']","['iseng', 'pengin', 'main', 'pas', 'keren', 'banget', 'nih', 'alun', 'ngadem']",iseng pengin main pas keren banget nih alun ngadem,6,Positif
2 bulan lalu,"Sebagaimana alun-alun yang lain merupakan tempat dengan sejarah panjang keberadaannya. Begitu juga alun-alun Wonosobo, merupakan tempat dimana warga masyarakat menggunakannya untuk tempat healing, bermain Dan olah raga. Sekali waktu dimanffatkan untuk satu even pertemuan akbar baik pemerintahan, budaya, maupun keagamaan.",Sebagaimana alunalun yang lain merupakan tempat dengan sejarah panjang keberadaannya Begitu juga alunalun Wonosobo merupakan tempat dimana warga masyarakat menggunakannya untuk tempat healing bermain Dan olah raga Sekali waktu dimanffatkan untuk satu even pertemuan akbar baik pemerintahan budaya maupun keagamaan,sebagaimana alunalun yang lain merupakan tempat dengan sejarah panjang keberadaannya begitu juga alunalun wonosobo merupakan tempat dimana warga masyarakat menggunakannya untuk tempat healing bermain dan olah raga sekali waktu dimanffatkan untuk satu even pertemuan akbar baik pemerintahan budaya maupun keagamaan,sebagaimana alunalun yang lain merupakan tempat dengan sejarah panjang keberadaannya begitu juga alunalun wonosobo merupakan tempat dimana warga masyarakat menggunakannya untuk tempat healing bermain dan olah raga sekali waktu dimanfaatkan untuk satu acara pertemuan akbar baik pemerintahan budaya maupun keagamaan,"['sebagaimana', 'alunalun', 'yang', 'lain', 'merupakan', 'tempat', 'dengan', 'sejarah', 'panjang', 'keberadaannya', 'begitu', 'juga', 'alunalun', 'wonosobo', 'merupakan', 'tempat', 'dimana', 'warga', 'masyarakat', 'menggunakannya', 'untuk', 'tempat', 'healing', 'bermain', 'dan', 'olah', 'raga', 'sekali', 'waktu', 'dimanfaatkan', 'untuk', 'satu', 'acara', 'pertemuan', 'akbar', 'baik', 'pemerintahan', 'budaya', 'maupun', 'keagamaan']","['alunalun', 'sejarah', 'keberadaannya', 'alunalun', 'wonosobo', 'dimana', 'warga', 'masyarakat', 'menggunakannya', 'healing', 'bermain', 'olah', 'raga', 'dimanfaatkan', 'acara', 'pertemuan', 'akbar', 'pemerintahan', 'budaya', 'keagamaan']",alunalun sejarah ada alunalun wonosobo mana warga masyarakat guna healing main olah raga manfaat acara temu akbar perintah budaya agama,12,Positif
3 bulan lalu,Cukup bersih. Enak buat nongkrong dan bawa keluarga. Banyak tempat bermain untuk anak2. Ada tempat sewa mobil2an dan motor listrik,Cukup bersih Enak buat nongkrong dan bawa keluarga Banyak tempat bermain untuk anak Ada tempat sewa mobilan dan motor listrik,cukup bersih enak buat nongkrong dan bawa keluarga banyak tempat bermain untuk anak ada tempat sewa mobilan dan motor listrik,cukup bersih enak buat nongkrong dan bawa keluarga banyak tempat bermain untuk anak ada tempat sewa mobilan dan motor listrik,"['cukup', 'bersih', 'enak', 'buat', 'nongkrong', 'dan', 'bawa', 'keluarga', 'banyak', 'tempat', 'bermain', 'untuk', 'anak', 'ada', 'tempat', 'sewa', 'mobilan', 'dan', 'motor', 'listrik']","['bersih', 'enak', 'nongkrong', 'bawa', 'keluarga', 'bermain', 'anak', 'sewa', 'mobilan', 'motor', 'listrik']",bersih enak nongkrong bawa keluarga main anak sewa mobil motor listrik,17,Positif
