steming_data,Score,Sentiment
ramai nyaman aman asri,11,Positif
laut manusia tumpah tanggal april alun wonosobo umur umur tau macet parah cari parkir susah over bingung nikmat,0,Netral
luas awat,8,Positif
sejuk indah pandang warga ramah ramah,14,Positif
istirahat selesai urus pajak kendara samsat lokasi dekat alun alun,-2,Negatif
rekreasi nyaman,4,Positif
sejuk adem ayem segar cocok quality time orang sayang keluarga istirahat dieng taman spot foto tarik keren,24,Positif
keren festival balon udara,-1,Negatif
tempat asyik habis malam minggu area main ramai banget,5,Positif
cappadocia ya jawa,0,Netral
keren keren,6,Positif
enak ya,5,Positif
bakso keliling,0,Netral
ramai jajan,3,Positif
kuliner tradisional mie ongklok sate kelinci,-5,Negatif
acara pasca lebaran tunggu masyarakat wonosobo,1,Positif
bilang wonosobo sempetin mampir alunalunnya fasilitas rekreasional asri masyarakat ramah cocok olahraga jogging cari makan dar jalan lepas,13,Positif
dar saran ojek pengkol situ oknum marah marah gara gara bayar transfer posisi situ atm ngambil duit pilih pilih,-19,Negatif
cocok main keluarga,11,Positif
beli makan coba langsung borong,10,Positif
alun alun rapi asri dagang kaki suka parkir kayak gbk motor wow wonosobo tengah jakarta,10,Positif
lebaran alun alun wonosobo,0,Netral
iseng pengin main pas keren banget alun alun ngadem,6,Positif
bagunan masjid bagus modern toilet bersih awat rekomended banget nih,16,Positif
asri nyaman,8,Positif
lari baik,1,Positif
lumayan anak,1,Positif
pusat hibur warga wonosobo,3,Positif
aneka kuliner khas wonosobo sedia disinitertata bersih,12,Positif
makan main,4,Positif
santa gembira acara giat masyarakat gelar penuh sukacita,9,Positif
suasana sejuk ngangenin,4,Positif
alun alun kota cocok olahraga ya,3,Positif
pandang sindoro sumbing alun alun,-3,Negatif
nyaman bersih indah,10,Positif
tempat aman asri sejuk,1,Positif
mantap dingin,9,Positif
ramai bersih,6,Positif
alun alun tata kota nyaman,6,Positif
recommended jalan pagi siang dikit ramai pedagangtapi senang sih makan enak suasana pagi syahdu lihat gunung sumbing sindoro,16,Positif
penuh kenang,3,Positif
duka,4,Positif
alun alun wonosobo asri damai sejahtera,4,Positif
bersih enak nongkrong bawa keluarga main anak anak sewa mobil mobil motor listrik,18,Positif
ya tempat adem,-1,Negatif
bagus luas tengahtengah kota wonosobo sejuk,4,Positif
jay idzes kunjung wonosobo dingin,7,Positif
bagus jogging foto latar kagum,8,Positif
bagus tempat,-1,Negatif
alun alun wonosobo milik ruang buka luas cocok aktivitas keluarga kumpul teman teman orang piknik main nikmat udara segar alun alun warung jual makan ringan,22,Positif
layan muas jamaah pengin berangkat,3,Positif
wonosobo tempat sejuk ramah anak bersih hibur minggu ramai pasar unik muda mud pakai angkut singgah betah lamalama saran unjung,7,Positif
acara asuh,3,Positif
alun alun ya ramai macet jajan sekitar alun alun,3,Positif
nyaman jalan jalan santai,6,Positif
mantap gan,5,Positif
alun alun indah,3,Positif
wonosobo sedia fasilitas sih kesini yaps lapang khusus upacara lapang volley lapang basket,13,Positif
bersih nyaman,7,Positif
cocok jalan jalan,4,Positif
ya asri lumayan tertib,9,Positif
lepas lelah,2,Positif
cocok isi luang keluarga,12,Positif
tempat nyaman olahraga jalan jajan enak murah murah alat main rusak awat,23,Positif
hei kucing,0,Netral
landmark kota wonosobo ya sejuk rindang nyaman santa dar jalan lepas penat,5,Positif
taman wonosobo jos udara sejuk segar,1,Positif
luas nyaman asik,11,Positif
ya bersih,3,Positif
masjid sukoyoso masuk kanan tiga belok kanan rumah zamzam blok b,6,Positif
terima kasih,4,Positif
kota wonosobo kota milik indah alam latar gunung sindoro sumbing milik alun alun asri lengkap fasilitas publik dukung,13,Positif
sejuk makan relatif murah jual durian jujur,9,Positif
wajib hukum pas pulang wonosobo jalan keliling sana,4,Positif
alun alun kota tenang sejuk rindang sahabat anak giat olahraga,8,Positif
bersih sejuk luas senang,11,Positif
bagus keluarga santa lapar jajan kaki jalan utama balai kota,-3,Negatif
lumayan rapi main sewa,7,Positif
makan khas wonosobo main anak anak masjid gereja,11,Positif
alun alun rindang pohonpohon teduh,2,Positif
nyaman sejuk,4,Positif
tempat lumayan bersih jual makan main sewa main anak dewasa,11,Positif
lumayan ramai mampir cuman ehehehe,6,Positif
mantan,-3,Negatif
seru nongkrong sore baik upgrading fasilitas,10,Positif
sejarah nyaman asri istimewa keluarga acara sempat,12,Positif
bikin kangen,3,Positif
sejuk banget coba deh main,5,Positif
mantap,5,Positif
bersih jual makan enak,10,Positif
sejuk habis pohon bikin adem,1,Positif
asyik ringan,2,Positif
tempat pas santai keluarga main anak,9,Positif
kota mt sumbing sindoro latar belakang ruang publik bagus,-6,Negatif
tempat asri sayang sepi perintah rawat tingkat promosi tingkat unjung parkir liar pungut liar benah,7,Positif
mantap bersih lestari jaga orang peduli,18,Positif
makan alun alun dekat alun alun masjid agung jam wonosono shalat enak good,19,Positif
minggu pagi alun alun wonosobo,0,Netral
bangga warga wonosobo ikon ya kota wonosobo kumpul warga keluarga kerabat hangout olahraga main bercengkrama,12,Positif
alun alun cantik cantik kota,3,Positif
keren bersih,6,Positif
alam jatuh kunci mtor tusuk ban mobil,3,Positif
tempat asri betah nongkrong,1,Positif
tempat nyaman jogging pagi udara segar sejuk pohonpohon pohon beringin asri burung,1,Positif
sejuk suasana asri alami alam,7,Positif
pusat kota wonosobo ramai odong odong kereta kereta mobil aki trampolin balon anak anak keliling makan,-1,Negatif
keren banget,3,Positif
salah olahraga view sindoro,-4,Negatif
wonosobo indah,3,Positif
ramah anak,5,Positif
wonosobo asri,4,Positif
suasana enak degan pandang gunung,10,Positif
kampung halaman istri nyaman sejuk cocok wisata kuliner pusat pasar masjid,14,Positif
senang saudara wonosobo,5,Positif
alun alun kota kota pusat kuliner refreshing,1,Positif
tulus hati,6,Positif
jalan sehat keluarga,8,Positif
puter pas giat daerah wonosobo,3,Positif
tempat sejuk bersih teduh,2,Positif
suasana sejuk asri,8,Positif
wonosobo langgan beli durian stok jamin enak,1,Positif
ya alun alun,0,Netral
ram,0,Netral
makan sate,1,Positif
tempat keren,0,Netral
bantu,3,Positif
nyaman sejuk area kota cocok singgah arah dieng,6,Positif
ruang publik olahraga santa ria keluarga,5,Positif
jalan wonosobo jalan kaki,0,Netral
orang kunjung,3,Positif
tata rapi,6,Positif
mie ongklok kaki ngadem pohon rindang,-4,Negatif
tempat hibur rakyat senang kuliner view bagus cerah gunung indah pandang mata,6,Positif
bagus olahraga aman nyaman,6,Positif
nyaman wifi ya,4,Positif
adem burung blekok bangan tambah asri kenang hp tinggal masjid selomerto alhamdulillah marbotnya amanah,28,Positif
bagus ajak jalan anak,3,Positif
nyaman nyore bareng keluarga main makan salam team bubur ayam om aan banjarnegara jawa,16,Positif
cocok sendiri malam malam bawa kopi duduk tenang kadang polisi tentara aman adem,10,Positif
wonosobo nyaman senang kunjung kumpul keluarga gathering komunitas,18,Positif
moga fasilitas dukung baharu main anak anak rumput awat biar anak anak latih sana maksimal,24,Positif
padat dagang nyaman kurang,1,Positif
nyaman wisata sih wahana main murah riah,13,Positif
dingin,4,Positif
luas sayang kesana kamis sepi pas libur,9,Positif
kasih bagus dagang kaki lima stand ya biar kuliner tata rapi alun alun wonosobo ikon ya kuliner,10,Positif
mohon wenang cari solusi kait burung burung sarang pohon keliling alun alun kotor ganggu nyaman masyarakatbanyak kotor,-11,Negatif
bagus nyaman kondisi rawan banget macet mobil jalan,2,Positif
sejuk asri kuliner,4,Positif
surprisingly entertaining,0,Netral
tempat bagus nongkrong suasana sejukbanyak stand makan khawatir lapar,0,Netral
baik masyarakat wonosobo kumpul bersenangsenang baik area jadi iklan duduk nongkrong bersih fasilitas tata area dagang kaki ganggu nyaman unjung,15,Positif
bersih awat udara sejuk pohon rindang duduk,0,Netral
bagus,2,Positif
bersih nyaman suasana malam haricukup kuliner,10,Positif
jual makan rumput tinggitinggi musim hhujan,5,Positif
kota asri cuaca sejuk dingin alun alun kota awat bersih nyaman alun alun kota wonosobo masjid,20,Positif
coba mie ongklok sate kambing muda batagor sembari rehat jalan syahdu enak next mampir santai,7,Positif
green,0,Netral
nikmat,3,Positif
kota nyaman adem,5,Positif
tempat nyaman sejuk sore dagang kaki makan enak,7,Positif
nikmat suasana kota kabupaten fasilitas main anak anak masjid agung jamik kolam ikan,14,Positif
jos alun alun ya malam minggu ramai banget,2,Positif
jajan,0,Netral
tugu dieng banjarnegara,0,Netral
enak syahdu banget burung ya resah,3,Positif
sejuk asri banget jajan allure makan enak enak tempat nyaman keren,19,Positif
bersih sejuk nyaman pelihara lingkung nyaman olahraga rekreasi sayang gym outdoor mini playangroundnya rusak tingkat awat sarprasnya,26,Positif
